"","VE","Year","Circuito","Municipio","Lista","GOBERNADOR","LEGISLADOR"
"1134",0,0,"44A",1,1,1935,2202
"1135",0,0,"44A",1,2,14,0
"1136",0,0,"44A",1,3,67,68
"1137",0,0,"44A",1,4,1,3
"1138",0,0,"44A",1,5,13,3.5
"1139",0,0,"44A",1,6,19,0
"1140",0,0,"44A",1,7,3,4
"1141",0,0,"44A",1,8,63,76
"1142",0,0,"44A",1,9,3,0
"1143",0,0,"44A",1,10,1811,1063.5
"1144",0,0,"44A",1,9999,333,842
"1145",0,0,"44B",1,1,252,276.5
"1146",0,0,"44B",1,2,3,0
"1147",0,0,"44B",1,3,2,1
"1148",0,0,"44B",1,4,0,0
"1149",0,0,"44B",1,5,0,0
"1150",0,0,"44B",1,6,0,0
"1151",0,0,"44B",1,7,0,0
"1152",0,0,"44B",1,8,2,3
"1153",0,0,"44B",1,9,0,0
"1154",0,0,"44B",1,10,86,53
"1155",0,0,"44B",1,9999,31,42.5
"1156",0,0,"44C",1,1,217,223
"1157",0,0,"44C",1,2,3,0
"1158",0,0,"44C",1,3,4,4
"1159",0,0,"44C",1,4,3,3
"1160",0,0,"44C",1,5,1,0.5
"1161",0,0,"44C",1,6,0,0
"1162",0,0,"44C",1,7,2,2
"1163",0,0,"44C",1,8,7,7
"1164",0,0,"44C",1,9,0,0
"1165",0,0,"44C",1,10,198,164
"1166",0,0,"44C",1,9999,32,63.5
"1167",0,0,"44D",1,1,267,279.5
"1168",0,0,"44D",1,2,2,0
"1169",0,0,"44D",1,3,11,11.5
"1170",0,0,"44D",1,4,2,1
"1171",0,0,"44D",1,5,1,0.5
"1172",0,0,"44D",1,6,0,0
"1173",0,0,"44D",1,7,0,0
"1174",0,0,"44D",1,8,8,5
"1175",0,0,"44D",1,9,0,0
"1176",0,0,"44D",1,10,122,93
"1177",0,0,"44D",1,9999,30,52.5
"1178",0,0,"44E",1,1,305,315
"1179",0,0,"44E",1,2,0,0
"1180",0,0,"44E",1,3,4,4
"1181",0,0,"44E",1,4,0,0
"1182",0,0,"44E",1,5,0,0
"1183",0,0,"44E",1,6,0,0
"1184",0,0,"44E",1,7,0,0
"1185",0,0,"44E",1,8,3,3
"1186",0,0,"44E",1,9,0,0
"1187",0,0,"44E",1,10,124,74
"1188",0,0,"44E",1,9999,21,63
"1189",0,0,"44F",1,1,180,195.5
"1190",0,0,"44F",1,2,0,0
"1191",0,0,"44F",1,3,0,0
"1192",0,0,"44F",1,4,1,1
"1193",0,0,"44F",1,5,0,0
"1194",0,0,"44F",1,6,0,0
"1195",0,0,"44F",1,7,0,0
"1196",0,0,"44F",1,8,13,14
"1197",0,0,"44F",1,9,0,0
"1198",0,0,"44F",1,10,66,46
"1199",0,0,"44F",1,9999,19,22.5
"1200",0,0,"44G",1,1,152,154.5
"1201",0,0,"44G",1,2,1,0
"1202",0,0,"44G",1,3,2,2
"1203",0,0,"44G",1,4,0,0
"1204",0,0,"44G",1,5,0,0
"1205",0,0,"44G",1,6,0,0
"1206",0,0,"44G",1,7,0,0
"1207",0,0,"44G",1,8,2,2
"1208",0,0,"44G",1,9,0,0
"1209",0,0,"44G",1,10,64,54.5
"1210",0,0,"44G",1,9999,6,14
"3799",0,1,"44A",1,1,1068,1190
"3800",0,1,"44A",1,2,9,0
"3801",0,1,"44A",1,3,2652,2511.5
"3802",0,1,"44A",1,4,624,371.5
"3803",0,1,"44A",1,5,8,6
"3804",0,1,"44A",1,6,68,68.5
"3805",0,1,"44A",1,7,1,1
"3806",0,1,"44A",1,8,1,0.5
"3807",0,1,"44A",1,9999,17,12
"3808",0,1,"44B",1,1,69,73.5
"3809",0,1,"44B",1,2,1,0
"3810",0,1,"44B",1,3,313,309
"3811",0,1,"44B",1,4,24,18
"3812",0,1,"44B",1,5,0,0
"3813",0,1,"44B",1,6,3,2
"3814",0,1,"44B",1,7,0,0
"3815",0,1,"44B",1,8,1,0.5
"3816",0,1,"44B",1,9999,2,0.5
"3817",0,1,"44C",1,1,161,164.5
"3818",0,1,"44C",1,2,2,0
"3819",0,1,"44C",1,3,316,304
"3820",0,1,"44C",1,4,47,40
"3821",0,1,"44C",1,5,0,0
"3822",0,1,"44C",1,6,2,2
"3823",0,1,"44C",1,7,0,0
"3824",0,1,"44C",1,8,0,0
"3825",0,1,"44C",1,9999,7,3
"3826",0,1,"44D",1,1,69,73
"3827",0,1,"44D",1,2,2,0
"3828",0,1,"44D",1,3,248,242
"3829",0,1,"44D",1,4,67,66
"3830",0,1,"44D",1,5,0,0
"3831",0,1,"44D",1,6,3,3
"3832",0,1,"44D",1,7,0,0
"3833",0,1,"44D",1,8,0,0
"3834",0,1,"44D",1,9999,5,5
"3835",0,1,"44E",1,1,121,132.5
"3836",0,1,"44E",1,2,1,0
"3837",0,1,"44E",1,3,312,310.5
"3838",0,1,"44E",1,4,57,43.5
"3839",0,1,"44E",1,5,0,0
"3840",0,1,"44E",1,6,4,4.5
"3841",0,1,"44E",1,7,0,0
"3842",0,1,"44E",1,8,1,0.5
"3843",0,1,"44E",1,9999,4,4
"3844",0,1,"44F",1,1,39,44
"3845",0,1,"44F",1,2,4,0
"3846",0,1,"44F",1,3,215,215.5
"3847",0,1,"44F",1,4,22,16
"3848",0,1,"44F",1,5,0,0
"3849",0,1,"44F",1,6,6,6
"3850",0,1,"44F",1,7,0,0
"3851",0,1,"44F",1,8,1,0.5
"3852",0,1,"44F",1,9999,0,0
"3853",0,1,"44G",1,1,63,66.5
"3854",0,1,"44G",1,2,1,0
"3855",0,1,"44G",1,3,155,151.5
"3856",0,1,"44G",1,4,8,5
"3857",0,1,"44G",1,5,0,0
"3858",0,1,"44G",1,6,0,0
"3859",0,1,"44G",1,7,0,0
"3860",0,1,"44G",1,8,0,0
"3861",0,1,"44G",1,9999,3,3
"2443",0,0,"82A",2,1,475,296
"2444",0,0,"82A",2,2,1,0
"2445",0,0,"82A",2,3,0,0
"2446",0,0,"82A",2,4,0,0
"2447",0,0,"82A",2,5,1,1
"2448",0,0,"82A",2,6,0,0
"2449",0,0,"82A",2,7,0,0
"2450",0,0,"82A",2,8,0,0
"2451",0,0,"82A",2,9,0,0
"2452",0,0,"82A",2,10,166,341
"2453",0,0,"82A",2,9999,25,30
"2454",0,0,"82B",2,1,88,15
"2455",0,0,"82B",2,2,0,0
"2456",0,0,"82B",2,3,1,0
"2457",0,0,"82B",2,4,0,0
"2458",0,0,"82B",2,5,0,0
"2459",0,0,"82B",2,6,0,0
"2460",0,0,"82B",2,7,0,0
"2461",0,0,"82B",2,8,0,0
"2462",0,0,"82B",2,9,0,0
"2463",0,0,"82B",2,10,17,91
"2464",0,0,"82B",2,9999,3,3
"2465",0,0,"83A",2,1,131,106
"2466",0,0,"83A",2,2,0,0
"2467",0,0,"83A",2,3,0,0
"2468",0,0,"83A",2,4,0,0
"2469",0,0,"83A",2,5,0,0
"2470",0,0,"83A",2,6,0,0
"2471",0,0,"83A",2,7,0,0
"2472",0,0,"83A",2,8,0,0
"2473",0,0,"83A",2,9,0,0
"2474",0,0,"83A",2,10,22,45
"2475",0,0,"83A",2,9999,2,4
"2476",0,0,"83B",2,1,186,82
"2477",0,0,"83B",2,2,0,0
"2478",0,0,"83B",2,3,0,0
"2479",0,0,"83B",2,4,0,0
"2480",0,0,"83B",2,5,0,0
"2481",0,0,"83B",2,6,0,0
"2482",0,0,"83B",2,7,0,0
"2483",0,0,"83B",2,8,0,0
"2484",0,0,"83B",2,9,0,0
"2485",0,0,"83B",2,10,55,160
"2486",0,0,"83B",2,9999,11,10
"4870",0,1,"82A",2,1,28,27
"4871",0,1,"82A",2,2,0,0
