"","Municipio","Mesa","Cargo","Lista","Votos","VE","Year","Circuito"
"3","LA CALDERA",3412,"GOBERNADOR","PJ - FRE.JU.VI.",178,"1",2007,"8A"
"4","LA CALDERA",3412,"DIPUTADO","PJ - FRE.JU.VI.",188,"1",2007,"8A"
"12","LA CALDERA",3412,"GOBERNADOR","PARTIDO HUMANISTA",0,"1",2007,"8A"
"19","LA CALDERA",3412,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"1",2007,"8A"
"20","LA CALDERA",3412,"DIPUTADO","FRENTE GRANDE",4,"1",2007,"8A"
"45","LA CALDERA",3412,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"8A"
"46","LA CALDERA",3412,"GOBERNADOR","PARTIDO DEL OBRERO",2,"1",2007,"8A"
"47","LA CALDERA",3412,"DIPUTADO","PARTIDO DEL OBRERO",2,"1",2007,"8A"
"49","LA CALDERA",3412,"GOBERNADOR","PARTIDO NUEVA GENERACION",4,"1",2007,"8A"
"52","LA CALDERA",3412,"GOBERNADOR","PROPUESTA SALTENA",3,"1",2007,"8A"
"57","LA CALDERA",3412,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",147,"1",2007,"8A"
"58","LA CALDERA",3412,"DIPUTADO","F.PARA LA VICTORIA-P.RENOVADOR",136,"1",2007,"8A"
"61","LA CALDERA",3412,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",1,"1",2007,"8A"
"62","LA CALDERA",3412,"DIPUTADO","ENCUENTRO POPULAR AMPLIO",2,"1",2007,"8A"
"63","LA CALDERA",3412,"GOBERNADOR","CONCERTACION SALTENA",1,"1",2007,"8A"
"73","LA CALDERA",3412,"GOBERNADOR","VOTOS EN BLANCO",21,"1",2007,"8A"
"74","LA CALDERA",3412,"DIPUTADO","VOTOS EN BLANCO",25,"1",2007,"8A"
"107","LA CALDERA",1372,"GOBERNADOR","PJ - FRE.JU.VI.",128,"1",2007,"8A"
"108","LA CALDERA",1372,"DIPUTADO","PJ - FRE.JU.VI.",131,"1",2007,"8A"
"116","LA CALDERA",1372,"GOBERNADOR","PARTIDO HUMANISTA",0,"1",2007,"8A"
"123","LA CALDERA",1372,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"1",2007,"8A"
"124","LA CALDERA",1372,"DIPUTADO","FRENTE GRANDE",11,"1",2007,"8A"
"149","LA CALDERA",1372,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"8A"
"150","LA CALDERA",1372,"GOBERNADOR","PARTIDO DEL OBRERO",8,"1",2007,"8A"
"151","LA CALDERA",1372,"DIPUTADO","PARTIDO DEL OBRERO",0,"1",2007,"8A"
"153","LA CALDERA",1372,"GOBERNADOR","PARTIDO NUEVA GENERACION",1,"1",2007,"8A"
"156","LA CALDERA",1372,"GOBERNADOR","PROPUESTA SALTENA",1,"1",2007,"8A"
"161","LA CALDERA",1372,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",85,"1",2007,"8A"
"162","LA CALDERA",1372,"DIPUTADO","F.PARA LA VICTORIA-P.RENOVADOR",76,"1",2007,"8A"
"165","LA CALDERA",1372,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",0,"1",2007,"8A"
"166","LA CALDERA",1372,"DIPUTADO","ENCUENTRO POPULAR AMPLIO",0,"1",2007,"8A"
"167","LA CALDERA",1372,"GOBERNADOR","CONCERTACION SALTENA",6,"1",2007,"8A"
"177","LA CALDERA",1372,"GOBERNADOR","VOTOS EN BLANCO",10,"1",2007,"8A"
"178","LA CALDERA",1372,"DIPUTADO","VOTOS EN BLANCO",21,"1",2007,"8A"
"211","LA CALDERA",3413,"GOBERNADOR","PJ - FRE.JU.VI.",18,"1",2007,"8B"
"212","LA CALDERA",3413,"DIPUTADO","PJ - FRE.JU.VI.",23,"1",2007,"8B"
"220","LA CALDERA",3413,"GOBERNADOR","PARTIDO HUMANISTA",0,"1",2007,"8B"
"229","LA CALDERA",1371,"GOBERNADOR","PJ - FRE.JU.VI.",108,"1",2007,"8A"
"230","LA CALDERA",1371,"DIPUTADO","PJ - FRE.JU.VI.",104,"1",2007,"8A"
"238","LA CALDERA",1371,"GOBERNADOR","PARTIDO HUMANISTA",0,"1",2007,"8A"
"245","LA CALDERA",1371,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"1",2007,"8A"
"246","LA CALDERA",1371,"DIPUTADO","FRENTE GRANDE",18,"1",2007,"8A"
"271","LA CALDERA",1371,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"8A"
"272","LA CALDERA",1371,"GOBERNADOR","PARTIDO DEL OBRERO",5,"1",2007,"8A"
"273","LA CALDERA",1371,"DIPUTADO","PARTIDO DEL OBRERO",3,"1",2007,"8A"
"275","LA CALDERA",1371,"GOBERNADOR","PARTIDO NUEVA GENERACION",1,"1",2007,"8A"
"278","LA CALDERA",1371,"GOBERNADOR","PROPUESTA SALTENA",4,"1",2007,"8A"
"283","LA CALDERA",1371,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",91,"1",2007,"8A"
"284","LA CALDERA",1371,"DIPUTADO","F.PARA LA VICTORIA-P.RENOVADOR",77,"1",2007,"8A"
"287","LA CALDERA",1371,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",2,"1",2007,"8A"
"288","LA CALDERA",1371,"DIPUTADO","ENCUENTRO POPULAR AMPLIO",1,"1",2007,"8A"
"289","LA CALDERA",1371,"GOBERNADOR","CONCERTACION SALTENA",1,"1",2007,"8A"
"299","LA CALDERA",1371,"GOBERNADOR","VOTOS EN BLANCO",11,"1",2007,"8A"
"300","LA CALDERA",1371,"DIPUTADO","VOTOS EN BLANCO",20,"1",2007,"8A"
"333","SALTA",3053,"GOBERNADOR","PJ - FRE.JU.VI.",135,"1",2007,"2A"
"334","SALTA",3053,"DIPUTADO","PJ - FRE.JU.VI.",101,"1",2007,"2A"
"339","SALTA",3053,"DIPUTADO","PARTIDO DEMOCRATA CRISTIANO",6,"1",2007,"2A"
"345","SALTA",3053,"DIPUTADO","PARTIDO CONSERVADOR POPULAR",19,"1",2007,"2A"
"347","SALTA",3053,"GOBERNADOR","PARTIDO HUMANISTA",1,"1",2007,"2A"
"348","SALTA",3053,"DIPUTADO","PARTIDO HUMANISTA",3,"1",2007,"2A"
"357","SALTA",3053,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"1",2007,"2A"
"358","SALTA",3053,"DIPUTADO","MOV. SOC. DE LOS TRABAJADORES",0,"1",2007,"2A"
"361","SALTA",3053,"DIPUTADO","FRENTE GRANDE",51,"1",2007,"2A"
"374","SALTA",1048,"GOBERNADOR","PJ - FRE.JU.VI.",116,"1",2007,"2A"
"375","SALTA",1048,"DIPUTADO","PJ - FRE.JU.VI.",80,"1",2007,"2A"
"380","SALTA",1048,"DIPUTADO","PARTIDO DEMOCRATA CRISTIANO",8,"1",2007,"2A"
"386","SALTA",1048,"DIPUTADO","PARTIDO CONSERVADOR POPULAR",10,"1",2007,"2A"
"388","SALTA",1048,"GOBERNADOR","PARTIDO HUMANISTA",0,"1",2007,"2A"
"389","SALTA",1048,"DIPUTADO","PARTIDO HUMANISTA",1,"1",2007,"2A"
"398","SALTA",1048,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",2,"1",2007,"2A"
"399","SALTA",1048,"DIPUTADO","MOV. SOC. DE LOS TRABAJADORES",2,"1",2007,"2A"
"402","SALTA",1048,"DIPUTADO","FRENTE GRANDE",33,"1",2007,"2A"
"417","SALTA",1048,"DIPUTADO","CORRIENTE PATRIA LIBRE",22,"1",2007,"2A"
"426","SALTA",1048,"DIPUTADO","UNION VICTORIA POPULAR",18,"1",2007,"2A"
"430","SALTA",1048,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",1,"1",2007,"2A"
"431","SALTA",1048,"DIPUTADO","MOVIMIENTO POPULAR SALTENO",2,"1",2007,"2A"
"435","SALTA",1048,"GOBERNADOR","PARTIDO DEL OBRERO",16,"1",2007,"2A"
"436","SALTA",1048,"DIPUTADO","PARTIDO DEL OBRERO",20,"1",2007,"2A"
"439","SALTA",1048,"DIPUTADO","VECINOS UNIDOS",6,"1",2007,"2A"
"441","SALTA",1048,"GOBERNADOR","PARTIDO NUEVA GENERACION",0,"1",2007,"2A"
"442","SALTA",1048,"DIPUTADO","PARTIDO NUEVA GENERACION",0,"1",2007,"2A"
"447","SALTA",1048,"GOBERNADOR","PROPUESTA SALTENA",14,"1",2007,"2A"
"448","SALTA",1048,"DIPUTADO","PROPUESTA SALTENA",15,"1",2007,"2A"
"456","SALTA",1048,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",123,"1",2007,"2A"
"457","SALTA",1048,"DIPUTADO","F.PARA LA VICTORIA-P.RENOVADOR",43,"1",2007,"2A"
"460","SALTA",1048,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",3,"1",2007,"2A"
"461","SALTA",1048,"DIPUTADO","ENCUENTRO POPULAR AMPLIO",3,"1",2007,"2A"
"464","SALTA",1048,"GOBERNADOR","CONCERTACION SALTENA",8,"1",2007,"2A"
"465","SALTA",1048,"DIPUTADO","CONCERTACION SALTENA",11,"1",2007,"2A"
"477","SALTA",1048,"GOBERNADOR","VOTOS EN BLANCO",26,"1",2007,"2A"
"478","SALTA",1048,"DIPUTADO","VOTOS EN BLANCO",38,"1",2007,"2A"
"512","SAN JOSE DE METAN",1417,"GOBERNADOR","PARTIDO HUMANISTA",0,"1",2007,"15A"
"519","SAN JOSE DE METAN",1417,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"1",2007,"15A"
"546","SAN JOSE DE METAN",1417,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",1,"1",2007,"15A"
"547","SAN JOSE DE METAN",1417,"GOBERNADOR","PARTIDO DEL OBRERO",2,"1",2007,"15A"
"550","SAN JOSE DE METAN",1417,"GOBERNADOR","PARTIDO NUEVA GENERACION",4,"1",2007,"15A"
"552","LA CALDERA",3413,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",1,"1",2007,"8B"
"553","LA CALDERA",3413,"DIPUTADO","FRENTE GRANDE",5,"1",2007,"8B"
"578","LA CALDERA",3413,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"8B"
"579","LA CALDERA",3413,"GOBERNADOR","PARTIDO DEL OBRERO",1,"1",2007,"8B"
"580","LA CALDERA",3413,"DIPUTADO","PARTIDO DEL OBRERO",0,"1",2007,"8B"
"582","LA CALDERA",3413,"GOBERNADOR","PARTIDO NUEVA GENERACION",0,"1",2007,"8B"
"585","LA CALDERA",3413,"GOBERNADOR","PROPUESTA SALTENA",0,"1",2007,"8B"
"590","LA CALDERA",3413,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",20,"1",2007,"8B"
"591","LA CALDERA",3413,"DIPUTADO","F.PARA LA VICTORIA-P.RENOVADOR",13,"1",2007,"8B"
"594","LA CALDERA",3413,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",1,"1",2007,"8B"
"595","LA CALDERA",3413,"DIPUTADO","ENCUENTRO POPULAR AMPLIO",1,"1",2007,"8B"
"596","LA CALDERA",3413,"GOBERNADOR","CONCERTACION SALTENA",1,"1",2007,"8B"
"606","LA CALDERA",3413,"GOBERNADOR","VOTOS EN BLANCO",2,"1",2007,"8B"
"607","LA CALDERA",3413,"DIPUTADO","VOTOS EN BLANCO",2,"1",2007,"8B"
"642","SALTA",3053,"DIPUTADO","CORRIENTE PATRIA LIBRE",24,"1",2007,"2A"
"651","SALTA",3053,"DIPUTADO","UNION VICTORIA POPULAR",0,"1",2007,"2A"
"655","SALTA",3053,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"2A"
"656","SALTA",3053,"DIPUTADO","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"2A"
"660","SALTA",3053,"GOBERNADOR","PARTIDO DEL OBRERO",8,"1",2007,"2A"
"661","SALTA",3053,"DIPUTADO","PARTIDO DEL OBRERO",11,"1",2007,"2A"
"664","SALTA",3053,"DIPUTADO","VECINOS UNIDOS",14,"1",2007,"2A"
"666","SALTA",3053,"GOBERNADOR","PARTIDO NUEVA GENERACION",6,"1",2007,"2A"
"667","SALTA",3053,"DIPUTADO","PARTIDO NUEVA GENERACION",7,"1",2007,"2A"
"672","SALTA",3053,"GOBERNADOR","PROPUESTA SALTENA",12,"1",2007,"2A"
"673","SALTA",3053,"DIPUTADO","PROPUESTA SALTENA",13,"1",2007,"2A"
"681","SALTA",3053,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",153,"1",2007,"2A"
"682","SALTA",3053,"DIPUTADO","F.PARA LA VICTORIA-P.RENOVADOR",35,"1",2007,"2A"
"685","SALTA",3053,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",2,"1",2007,"2A"
"686","SALTA",3053,"DIPUTADO","ENCUENTRO POPULAR AMPLIO",1,"1",2007,"2A"
"689","SALTA",3053,"GOBERNADOR","CONCERTACION SALTENA",14,"1",2007,"2A"
"690","SALTA",3053,"DIPUTADO","CONCERTACION SALTENA",15,"1",2007,"2A"
"702","SALTA",3053,"GOBERNADOR","VOTOS EN BLANCO",7,"1",2007,"2A"
"703","SALTA",3053,"DIPUTADO","VOTOS EN BLANCO",40,"1",2007,"2A"
"736","LA CALDERA",3411,"GOBERNADOR","PJ - FRE.JU.VI.",177,"1",2007,"8A"
"737","LA CALDERA",3411,"DIPUTADO","PJ - FRE.JU.VI.",171,"1",2007,"8A"
"745","LA CALDERA",3411,"GOBERNADOR","PARTIDO HUMANISTA",0,"1",2007,"8A"
"752","LA CALDERA",3411,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",1,"1",2007,"8A"
"753","LA CALDERA",3411,"DIPUTADO","FRENTE GRANDE",13,"1",2007,"8A"
"778","LA CALDERA",3411,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"8A"
"779","LA CALDERA",3411,"GOBERNADOR","PARTIDO DEL OBRERO",2,"1",2007,"8A"
"780","LA CALDERA",3411,"DIPUTADO","PARTIDO DEL OBRERO",2,"1",2007,"8A"
"782","LA CALDERA",3411,"GOBERNADOR","PARTIDO NUEVA GENERACION",0,"1",2007,"8A"
"785","LA CALDERA",3411,"GOBERNADOR","PROPUESTA SALTENA",2,"1",2007,"8A"
"790","LA CALDERA",3411,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",143,"1",2007,"8A"
"791","LA CALDERA",3411,"DIPUTADO","F.PARA LA VICTORIA-P.RENOVADOR",130,"1",2007,"8A"
"794","LA CALDERA",3411,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",0,"1",2007,"8A"
"795","LA CALDERA",3411,"DIPUTADO","ENCUENTRO POPULAR AMPLIO",0,"1",2007,"8A"
"796","LA CALDERA",3411,"GOBERNADOR","CONCERTACION SALTENA",2,"1",2007,"8A"
"806","LA CALDERA",3411,"GOBERNADOR","VOTOS EN BLANCO",14,"1",2007,"8A"
"807","LA CALDERA",3411,"DIPUTADO","VOTOS EN BLANCO",24,"1",2007,"8A"
"840","SAN JOSE DE METAN",1417,"GOBERNADOR","PJ - FRE.JU.VI.",82,"1",2007,"15A"
"841","SAN JOSE DE METAN",1417,"SENADOR","PJ - FRE.JU.VI.",86,"1",2007,"15A"
"847","SAN JOSE DE METAN",1417,"GOBERNADOR","PROPUESTA SALTENA",1,"1",2007,"15A"
"852","SAN JOSE DE METAN",1417,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",170,"1",2007,"15A"
"853","SAN JOSE DE METAN",1417,"SENADOR","F.PARA LA VICTORIA-P.RENOVADOR",135,"1",2007,"15A"
